"Year","Control","Log_Single","Log_Sequential"
2082,683.670959472656,184.705764770508,318.022857666016
2083,655.021179199219,202.795547485352,271.794555664062
2084,725.899169921875,254.017562866211,167.135665893555
2085,766.453430175781,310.618743896484,200.587142944336
2086,722.73779296875,344.746948242188,220.429443359375
2087,611.839660644531,327.759490966797,209.371444702148
2088,603.323791503906,366.518646240234,235.667190551758
2089,733.755187988281,485.719573974609,316.690490722656
2090,803.69287109375,570.270935058594,377.970703125
2091,926.219909667969,709.56005859375,478.729644775391
2092,907.764709472656,763.416809082031,524.292541503906
2093,772.928894042969,756.585205078125,535.252014160156
2094,653.437866210938,729.98779296875,545.240295410156
2095,689.324645996094,825.838195800781,670.633605957031
2096,700.718078613281,850.876525878906,764.222717285156
2097,631.865783691406,750.6044921875,763.524475097656
2098,657.3515625,761.919616699219,826.997131347656
2099,618.634216308594,700.405029296875,783.019287109375
2100,624.018249511719,694.065856933594,787.601745605469
2101,548.283874511719,602.764892578125,686.792236328125
2102,612.444763183594,668.010803222656,757.027648925781
2103,658.886291503906,707.904846191406,787.859680175781
2104,753.73876953125,802.897155761719,885.416809082031
2105,823.861755371094,858.365783691406,908.883972167969
2106,926.681335449219,946.041198730469,981.926574707031
2107,969.859680175781,977.920959472656,1002.65289306641
2108,871.207946777344,873.430114746094,888.911560058594
2109,662.981140136719,662.820922851562,671.249755859375
2110,646.636901855469,646.220520019531,653.007141113281
2111,642.821594238281,642.317687988281,648.447937011719
2112,631.678588867188,630.990417480469,635.611877441406
2113,661.981262207031,661.269958496094,665.034606933594
2114,674.493225097656,672.581604003906,675.65771484375
2115,710.39892578125,707.6611328125,709.481628417969
2116,747.100158691406,745.091369628906,745.563232421875
2117,713.946228027344,713.784423828125,714.186096191406
2118,676.784301757812,677.335693359375,677.456787109375
2119,647.824096679688,648.136413574219,646.810607910156
2120,717.386169433594,718.2822265625,715.771728515625
2121,757.994873046875,760.188903808594,758.340637207031
2122,715.07373046875,718.46435546875,717.234619140625
2123,605.119689941406,608.657409667969,606.930053710938
2124,597.024536132812,600.004455566406,598.625427246094
2125,726.499938964844,730.787109375,728.515380859375
2126,795.944152832031,802.14453125,798.630187988281
2127,917.80029296875,925.822814941406,921.471496582031
2128,901.127014160156,908.524108886719,905.37158203125
2129,768.271545410156,770.979675292969,771.313232421875
2130,649.265441894531,650.734008789062,651.653869628906
2131,685.17236328125,686.638916015625,687.358154296875
2132,696.137451171875,698.751708984375,699.026428222656
2133,627.239624023438,629.445251464844,630.099792480469
2134,651.674255371094,653.8974609375,654.68408203125
2135,612.944641113281,614.639343261719,615.568176269531
2136,617.886169433594,619.293823242188,620.394470214844
2137,542.056335449219,543.650146484375,544.556213378906
2138,604.170593261719,606.810485839844,608.069274902344
2139,649.074890136719,651.873229980469,654.087341308594
2140,740.684143066406,743.083801269531,747.508117675781
2141,813.114196777344,811.952575683594,818.117736816406
2142,921.836486816406,915.925048828125,921.962097167969
2143,967.767272949219,963.82275390625,965.280578613281
2144,868.128723144531,866.33935546875,866.176696777344
2145,658.487670898438,656.623046875,657.420043945312
2146,641.397277832031,640.34619140625,640.949157714844
2147,636.872680664062,636.484680175781,636.657470703125
2148,625.870300292969,625.556030273438,625.232604980469
2149,655.99267578125,655.797607421875,655.117858886719
2150,667.513061523438,667.792053222656,666.535705566406
2151,702.549743652344,703.3349609375,701.711669921875
2152,739.99072265625,740.797607421875,739.248107910156
2153,709.51806640625,709.356262207031,708.699157714844
2154,673.023864746094,672.673278808594,672.738098144531
2155,643.485107421875,643.633972167969,644.336975097656
2156,713.33740234375,713.422546386719,714.960754394531
2157,755.477722167969,755.00390625,757.228088378906
2158,714.197448730469,713.1298828125,715.79150390625
2159,604.914367675781,603.851135253906,606.365417480469
2160,596.182678222656,595.330383300781,597.236389160156
2161,725.69287109375,725.298400878906,727.84375
2162,795.88427734375,795.850341796875,798.263916015625
2163,917.06005859375,918.092468261719,919.655029296875
2164,898.660583496094,900.031311035156,900.69287109375
2165,765.498291015625,765.367980957031,765.163513183594
2166,646.295471191406,646.030578613281,645.5869140625
2167,680.875793457031,680.92529296875,680.636962890625
2168,691.266906738281,691.734313964844,691.926574707031
