"Control","Log_Single","Log_Sequential"
"2103",404.372222900391,454.994049072266,444.844696044922
"2104",451.617523193359,504.456817626953,494.992889404297
"2105",486.939208984375,541.699523925781,532.336853027344
"2106",545.330749511719,603.744873046875,593.424865722656
"2107",600.63330078125,661.618347167969,650.033020019531
"2108",605.784973144531,656.496643066406,645.762268066406
"2109",491.244842529297,522.528930664062,514.987243652344
"2110",451.341278076172,464.272338867188,461.815704345703
"2111",432.156280517578,439.471466064453,438.688323974609
"2112",405.654449462891,414.8818359375,417.340454101562
"2113",429.280303955078,439.421020507812,444.044677734375
"2114",454.555908203125,465.353912353516,470.281036376953
"2115",478.308013916016,489.631744384766,494.292999267578
"2116",500.243774414062,512.207092285156,516.426452636719
"2117",522.733642578125,535.828552246094,539.556335449219
"2118",551.374755859375,566.008239746094,569.195861816406
"2119",578.542175292969,595.702331542969,598.569274902344
"2120",581.439270019531,600.531372070312,603.207397460938
"2121",521.487854003906,541.68017578125,542.421325683594
"2122",506.926391601562,529.955383300781,529.079528808594
"2123",529.076110839844,552.149230957031,551.271118164062
"2124",535.358337402344,559.472412109375,558.05859375
"2125",592.782653808594,616.094055175781,614.891967773438
"2126",639.08740234375,660.135559082031,659.932312011719
"2127",697.854675292969,711.874816894531,714.705261230469
"2128",756.271911621094,759.73974609375,766.465026855469
"2129",728.731140136719,744.400573730469,745.578796386719
"2130",636.752563476562,697.743408203125,675.573913574219
"2131",612.042846679688,683.291748046875,655.31103515625
"2132",577.314636230469,649.028137207031,619.307006835938
"2133",473.864349365234,520.650756835938,498.473541259766
"2134",442.048675537109,467.664306640625,453.210815429688
"2135",414.082397460938,431.867767333984,420.686279296875
"2136",373.606964111328,390.980712890625,380.18798828125
"2137",363.613037109375,382.422760009766,370.86962890625
"2138",387.808471679688,407.099975585938,394.966888427734
"2139",399.933990478516,420.681762695312,407.246612548828
"2140",445.826538085938,468.046020507812,453.207366943359
"2141",481.048492431641,504.359710693359,488.382904052734
"2142",538.495178222656,564.042785644531,546.683776855469
"2143",593.530700683594,620.559509277344,602.559936523438
"2144",603.301452636719,624.656677246094,610.21435546875
"2145",495.075561523438,508.234222412109,499.932952880859
"2146",457.810913085938,463.725921630859,461.580902099609
"2147",440.228179931641,442.228546142578,443.129669189453
"2148",413.168975830078,414.655639648438,415.828155517578
"2149",436.155731201172,437.308929443359,438.904296875
"2150",460.931793212891,462.183197021484,464.297698974609
"2151",484.012054443359,485.787078857422,488.001617431641
"2152",504.789398193359,507.655120849609,509.484008789062
"2153",525.634887695312,529.752014160156,530.55517578125
"2154",552.259948730469,557.490539550781,556.833374023438
"2155",578.276733398438,583.986083984375,582.166564941406
"2156",580.746398925781,585.955383300781,583.204284667969
"2157",519.731567382812,524.876342773438,519.3203125
"2158",502.996124267578,509.350341796875,501.425140380859
"2159",524.180236816406,530.218811035156,521.979431152344
"2160",530.021301269531,535.601684570312,528.042907714844
"2161",585.752014160156,590.369873046875,582.999755859375
"2162",631.22265625,634.557434082031,627.231628417969
"2163",687.313537597656,689.531677246094,682.997253417969
"2164",738.425109863281,741.676940917969,735.596435546875
"2165",718.122009277344,727.9921875,721.328186035156
"2166",657.748168945312,681.296081542969,673.577941894531
"2167",637.204528808594,666.712097167969,658.222595214844
"2168",600.052795410156,631.876281738281,622.882141113281
"2169",482.774871826172,504.693267822266,499.512176513672
"2170",439.609252929688,452.659393310547,451.271484375
"2171",408.566131591797,418.190643310547,417.680999755859
"2172",368.870086669922,377.744750976562,377.546661376953
"2173",359.951263427734,368.569580078125,368.57373046875
"2174",383.762176513672,391.91748046875,392.153564453125
"2175",396.495239257812,403.211761474609,403.59765625
"2176",442.484100341797,447.632965087891,448.408325195312
"2177",478.301910400391,482.173858642578,483.432281494141
"2178",536.456298828125,538.724670410156,540.866027832031
"2179",591.905334472656,593.678527832031,596.247741699219
"2180",609.657287597656,612.258605957031,614.496704101562
