"Year","Treatment","AGB","AGB.c","AGB.d","rep","AGB.sc"
2087,"Control",532.284484863281,64.1963356131372,0,"1",-0.43673653236627
2088,"Control",539.369873046875,71.2817237967312,0,"1",-0.394086406813644
2089,"Control",598.107177734375,130.019028484231,0,"1",-0.0405202570654466
2090,"Control",644.304931640625,176.216782390481,0,"1",0.237564719127266
2091,"Control",699.278503417969,231.190354167825,0,"1",0.568475274431621
2092,"Control",753.773498535156,285.685349285012,0,"1",0.896505062428193
2093,"Control",727.140686035156,259.052536785012,0,"1",0.736190233161016
2094,"Control",635.965637207031,167.877487956887,0,"1",0.187366770137451
2095,"Control",611.586669921875,143.498520671731,0,"1",0.0406188448843493
2096,"Control",577.838806152344,109.7506569022,0,"1",-0.162524665338023
2097,"Control",473.428680419922,5.34053116977816,0,"1",-0.791015985229891
2098,"Control",440.552825927734,-27.5353233224099,0,"1",-0.988910480973728
2099,"Control",412.316802978516,-55.7713462716278,0,"1",-1.15887575213268
2100,"Control",373.210113525391,-94.8780357247528,0,"1",-1.39427643476363
2101,"Control",365.333343505859,-102.754805744285,0,"1",-1.44169024210591
2102,"Control",391.021697998047,-77.0664512520968,0,"1",-1.28706052868117
2103,"Control",404.372222900391,-63.7159263497528,0,"1",-1.20669773859483
2104,"Control",451.617523193359,-16.4706260567849,0,"1",-0.922307111426044
2105,"Control",486.939208984375,18.8510597342312,0,"1",-0.709690061423699
2106,"Control",545.330749511719,77.2426002615751,0,"1",-0.358205221049122
2107,"Control",600.63330078125,132.545151531106,0,"1",-0.0253143908067612
2108,"Control",605.784973144531,137.696823894387,0,"1",0.00569583296738311
2109,"Control",491.244842529297,23.1566932791532,0,"1",-0.683772524301355
2110,"Control",451.341278076172,-16.7468711739718,0,"1",-0.923969954537252
2111,"Control",432.156280517578,-35.9318687325658,0,"1",-1.03945304923847
2112,"Control",405.654449462891,-62.4336997872528,0,"1",-1.19897944250991
2113,"Control",429.280303955078,-38.8078452950658,0,"1",-1.05676484053327
2114,"Control",454.555908203125,-13.5322410470188,0,"1",-0.904619655729735
2115,"Control",478.308013916016,10.2198646658722,0,"1",-0.761645091098303
2116,"Control",500.243774414062,32.1556251639182,0,"1",-0.629603921991965
2117,"Control",522.733642578125,54.6454933279812,0,"1",-0.494227330617582
2118,"Control",551.374755859375,83.2866066092312,0,"1",-0.321823639279859
2119,"Control",578.542175292969,110.454026042825,0,"1",-0.15829077138893
2120,"Control",581.439270019531,113.351120769387,0,"1",-0.140851860404233
2121,"Control",521.487854003906,53.3997047537622,0,"1",-0.501726290127732
2122,"Control",506.926391601562,38.8382423514182,0,"1",-0.589378255496098
2123,"Control",529.076110839844,60.9879615897001,0,"1",-0.456049172884148
2124,"Control",535.358337402344,67.2701881522001,0,"1",-0.418233636925078
2125,"Control",592.782653808594,124.69450455845,0,"1",-0.0725709518274278
2126,"Control",639.08740234375,170.999253093606,0,"1",0.206158072967571
2127,"Control",697.854675292969,229.766526042825,0,"1",0.559904615108083
2128,"Control",756.271911621094,288.18376237095,0,"1",0.911544130018633
2129,"Control",728.731140136719,260.642990886575,0,"1",0.745763888881731
2130,"Control",636.752563476562,168.664414226418,0,"1",0.19210363187692
